"","manualTags.v","Freq"
"257","Dublin Core Application Profile",1
"258","Dynamic video abstract",1
"259","E-books",1
"260","e-deposit",1
"261","EAD",1
"262","Education",1
"263","Educational Technology",1
"264","Electronic Dance Music",1
"265","electronic documents",1
"266","electronic resources",1
"267","element sets",1
"268","Epistemiology",1
"269","evolutionary theory",1
"270","Extensions",1
"271","Faceted taxonomies",1
"272","fake news",1
"273","Fashion",1
"274","Fiction Classification",1
"275","findability",1
"276","folksonomies",1
"277","folksonomy",1
"278","Folksonomy (user-generated metadata)",1
"279","FRBR (Conceptual model)",1
"280","Free-text",1
"281","Free-text queries",1
"282","Game Shows",1
"283","games",1
"284","Games",1
"285","glossories",1
"286","Historians",1
"287","History",1
"288","Household Tools",1
"289","Hyperlinks",1
"290","IFLA LRM",1
"291","Indexing Images",1
"292","Indexing Template",1
"293","Indigenous cultures",1
"294","Informal Services Definition",1
"295","Information behaviour & retrieval",1
"296","Information management",1
"297","Information Media",1
"298","information professional",1
"299","information retrieval",1
"300","Information Services",1
"301","Information technology",1
"302","institutional theory",1
"303","Internetworking",1
"304","Interoperability",1
"305","introduction",1
"306","Jieun Chang",1
"307","keyword",1
"308","keyword context",1
"309","Keyword Search",1
"310","Knowledge Acquisition",1
"311","Knowledge organization system",1
"312","Knowledge Organization Systems",1
"313","Knowledge representation",1
"314","Law Books",1
"315","Learning Object Repository",1
"316","learning objects",1
"317","Learning Objects",1
"318","Legal Literature",1
"319","Legal Research",1
"320","Library & Information Science",1
"321","Library Catalogs",1
"322","Library Classification",1
"323","Library design",1
"324","Library Information Networks",1
"325","Library of Congress Classification Scheme",1
"326","Library of Congress subject headings",1
"327","Library of Congress Subject Headings",1
"328","Library of Congress Subject Headings (LCSH)",1
"329","library programming",1
"330","Linked data (Semantic Web)",1
"331","Literary Warrant",1
"332","Machine Learning",1
"333","manga",1
"334","MANN, Thomas, 1875-1955",1
"335","MAP Classes",1
"336","MAP collections",1
"337","MARC formats",1
"338","Mass production",1
"339","Medical Subject Headings (MeSH)",1
"340","Medicine Archives",1
"341","metadata application profile",1
"342","Metadata Application Profile,",1
"343","Metadata Application Profile, Contribute 1, zDauphinee Elise, content analysis, information resource management,  metadata,",1
"344","Metadata Application Profiles",1
"345","metadata application samples",1
"346","Metadata Encoding & Transmission Schema (METS)",1
"347","Metadata initiatives",1
"348","Metadata Management",1
"349","Metadata mapping",1
"350","Metadata practices",1
"351","Metadata Schema",1
"352","metadata standards",1
"353","Metadata Standards",1
"354","Metadata strategy",1
"355","Metaphysical",1
"356","Metatdata Application Profile",1
"357","Microtonal Music",1
"358","misinformation",1
"359","multilingualism",1
"360","multimedia, videos, databases, applications",1
"361","Music Genre/Form Project Group",1
"362","Music Genres",1
"363","Music industry",1
"364","Music Libraries",1
"365","Music Library Association",1
"366","Music Ontology",1
"367","Music scores",1
"368","Music Technology",1
"369","Musical Audio Resources",1
"370","National Bibliographies",1
"371","Natonal Library of Sweden",1
"372","natural language processing",1
"373","Natural Language Processing",1
"374","NISO",1
"375","Nomenclature",1
"376","Object Description and Representation",1
"377","Object Organization",1
"378","objects",1
"379","Omeka",1
"380","Ontologies",1
"381","Ontology",1
"382","ontoloxy",1
"383","Open source software",1
"384","organization",1
"385","Penn State University LIbraries",1
"386","Performing arts digital library",1
"387","Persoanlization",1
"388","Personal libraries",1
"389","Pharmacy / Pharmacists",1
"390","Photography",1
"391","picture book recommendations",1
"392","PMAP",1
"393","Postcard Collection",1
"394","Preservation of materials",1
"395","Primary literature",1
"396","production of culture",1
"397","Program Descriptions",1
"398","Provenance Description",1
"399","psychology",1
"400","Quality Assurance",1
"401","RDF format",1
"402","readers advisory services",1
"403","Recommended properties",1
"404","Records exchange",1
"405","reference",1
"406","Required properties",1
"407","RES Subclass",1
"408","RES Superclass",1
"409","research",1
"410","resources",1
"411","result quality",1
"412","Retrieval",1
"413","Rhetorical Theory",1
"414","Sale",1
"415","Scotland / Scottish Parliament",1
"416","Search interface design",1
"417","Search Options",1
"418","search requirements",1
"419","Search Terms",1
"420","Semantic Interoperability",1
"421","Semantics",1
"422","Sheet Music",1
"423","Shelf Classification",1
"424","Social cataloging",1
"425","Social tagging behavior",1
"426","Specificity",1
"427","Standards",1
"428","Standards Valuation",1
"429","Star maps (Astronomy)",1
"430","Static video abstract",1
"431","Statistics",1
"432","Steam",1
"433","storytelling",1
"434","strenghts/weaknesses",1
"435","Subject",1
"436","Subject access",1
"437","Subject Access",1
"438","Subject Analysis",1
"439","subject heading",1
"440","Surveys",1
"441","Synonymous Concepts",1
"442","tabletop games",1
"443","Tagging Quality",1
"444","tags",1
"445","taxonomies",1
"446","Taxonomies",1
"447","Teaching / Learning",1
"448","Technological Literacy",1
"449","Technology",1
"450","Term Relationships",1
"451","terminology",1
"452","Terminology Mappings",1
"453","Text Analysis",1
"454","Theft",1
"455","Topic Modeling",1
"456","topical descriptor1",1
"457","Universal Bibliographic Control",1
"458","Unpublished works",1
"459","user behavior",1
"460","user generated metadata",1
"461","user interface",1
"462","User studies",1
"463","User Tags",1
"464","User-created Metadata",1
"465","Users' language",1
"466","Video abstraction",1
"467","Video Game Metadata Schema",1
"468","video games",1
"469","Video games",1
"470","video streams",1
"471","Visual information",1
"472","Vocabularies",1
"473","Vocabulary Crosswalks",1
"474","Vocabulary Encoding Scheme",1
"475","Vocabulary, Controlled",1
"476","WEB (Computer program language)",1
"477","Web Search Engine",1
"478","xRyan Kandace",1
"479","ZBland Michael",1
"480","zChartrand Paul",1
"481","zCindy Leahy",1
"482","zMcKayla Moors",1
"483","zPaul chartrand",1
